X,Y,OBJECTID,YEAR,overed,not_resed
120.2858,22.84159,111145,95,1,1
120.2817,23.62042,5127,91,1,1
120.2851,23.44209,111404,95,1,1
120.2888,23.21636,82675,92,1,1
120.2959,22.7739,136441,96,1,1
120.2902,23.85973,129999,95,1,1
120.2982,22.80777,118179,96,1,1
120.2982,22.81455,118181,96,1,1
120.3005,22.83036,127433,96,1,1
120.3003,22.87777,71978,95,1,1
120.3032,22.77619,127513,95,1,1
120.3029,22.83037,127434,96,1,1
120.3055,22.81232,118195,96,1,1
120.3023,23.42636,118875,96,1,1
120.3081,23.7176,24479,87,1,1
120.3155,22.74689,117713,96,1,1
120.3151,22.83494,72160,95,1,1
120.3132,23.21195,82760,92,1,1
120.3177,22.80786,127479,95,1,1
120.3279,22.69953,134674,95,1,1
120.3272,22.84628,72188,94,1,1
120.327,22.89369,127337,95,1,1
120.3263,23.02914,84066,92,1,1
120.33,22.76727,72373,94,1,1
120.33,22.7763,8030,91,1,1
120.3333,22.59569,110578,95,1,1
120.3327,22.71761,110355,95,1,1
120.3304,23.19622,83100,92,1,1
120.3358,22.59119,110579,95,1,1
120.3373,22.77182,8056,91,1,1
120.3371,22.826,134878,95,1,1
120.3406,22.59798,127000,95,1,1
120.3426,22.68153,134711,95,1,1
120.3455,22.58446,134775,95,1,1
120.3419,23.33172,120162,96,1,1
120.3411,23.50554,137825,97,1,1
120.3478,22.6093,134757,95,1,1
120.3474,22.69283,117721,95,1,1
120.3418,23.85319,113449,95,1,1
120.3503,22.61157,117777,95,1,1
120.346,23.48976,118698,96,1,1
120.3463,23.92093,113191,95,1,1
120.3548,22.67932,126952,95,1,1
120.3548,22.68383,134725,95,1,1
120.3625,22.58904,127081,95,1,1
120.3617,22.76288,8149,91,1,1
120.365,22.58679,134782,95,1,1
120.3696,22.64551,110454,95,1,1
120.3632,23.9955,129133,95,1,1
120.3684,23.4289,72669,94,1,1
120.3659,23.93005,129481,95,1,1
120.3745,22.6365,134740,95,1,1
120.368,24.00455,130300,95,1,1
120.3711,23.8804,121060,96,1,1
120.3793,22.632,126970,95,1,1
120.3736,23.8759,129917,95,1,1
120.3759,23.89171,129921,95,1,1
120.3781,23.95718,112972,95,1,1
120.3869,22.56881,110688,95,1,1
120.386,22.76524,8136,91,1,1
120.3894,22.56882,110689,95,1,1
120.3831,23.94592,129496,96,1,1
120.3917,22.58012,127093,95,1,1
120.3879,23.97077,112995,95,1,1
120.3967,22.56433,134791,95,1,1
120.3941,23.14681,83586,92,1,1
120.39,24.04527,113607,95,1,1
120.3991,22.5666,127125,95,1,1
120.3988,22.63434,126981,96,1,1
120.4015,22.56435,110694,95,1,1
120.4015,22.56661,110695,95,1,1
120.3953,23.95499,129392,95,1,1
120.4041,22.52146,81875,93,1,1
120.4063,22.57792,110632,95,1,1
120.4063,22.58017,117862,95,1,1
120.4063,22.58921,110634,95,1,1
120.4062,22.60501,127038,96,1,1
120.3998,24.03628,113638,95,1,1
120.4088,22.57115,110700,95,1,1
120.4025,23.98888,129201,95,1,1
120.4074,23.44486,72756,95,1,1
120.4073,23.46969,72556,95,1,1
120.4049,24.00244,121781,96,1,1
120.4138,22.52827,81763,93,1,1
120.4076,23.95053,113025,96,1,1
120.4076,23.95278,120813,96,1,1
120.4147,23.46746,118797,96,1,1
120.4235,22.55088,110729,95,1,1
120.417,24.03634,75121,95,1,1
120.4224,23.38171,119532,96,1,1
120.433,22.60737,110573,96,1,1
120.4345,23.41561,73132,94,1,1
120.4319,24.00028,75150,95,1,1
120.4318,24.04317,121595,96,1,1
120.4343,24.03415,121602,96,1,1
120.4425,22.64353,81513,93,1,1
120.4425,22.65481,81324,93,1,1
120.4387,23.57591,74179,94,1,1
120.4469,22.76094,82573,93,1,1
120.4494,22.76095,82581,93,1,1
120.4443,23.98001,74863,95,1,1
120.444,24.04999,113552,95,1,1
120.4503,23.12444,118344,96,1,1
120.4597,22.61423,43306,85,1,1
120.4549,23.80623,21771,87,1,1
120.4589,23.42699,72869,94,1,1
120.4588,23.44053,111479,95,1,1
120.4648,22.54426,44385,85,1,1
120.4626,23.11094,118486,96,1,1
120.4692,22.65716,81432,93,1,1
120.4692,22.66619,81434,93,1,1
120.4681,22.95744,134815,95,1,1
120.4633,24.14035,15131,83,1,1
120.4688,23.39541,119583,96,1,1
120.4684,24.10651,15824,83,1,1
120.4684,24.10876,15776,83,1,1
120.4757,22.87619,82075,93,1,1
120.4711,24.02751,121719,96,1,1
