X,Y
120.169793,23.178964
120.186112,22.922123
120.186166,22.921047
120.18637,22.921936
120.186597,22.921218
120.186937,22.921381
120.187291,22.921797
120.187943,22.925165
120.18811,22.925538
120.188262,22.922047
120.189001,22.933663
120.189419,22.923894
120.1898,22.924386
120.189995,22.924273
120.190155,22.924708
120.190165,22.923182
120.190259,22.923471
120.190313,22.924645
120.190316,22.925146
120.190348,22.92389
120.190447,22.92419
120.190447,22.924056
120.190476,22.924776
120.190617,22.924155
120.190619,22.924328
120.190639,22.92404
120.190694,22.927054
120.190817,22.924321
120.190822,22.924143
120.190825,22.924028
120.190853,22.92679
120.190948,22.925936
120.190966,22.92693
120.191135,22.926175
120.191263,22.926601
120.191728,22.926102
120.191756,22.926271
120.191953,22.927038
120.192298,22.92734
120.192788,22.92872
120.193128,22.927048
120.193129,22.927779
120.193173,22.929097
120.193217,22.928709
120.193266,22.928066
120.193362,22.927167
120.193371,22.927714
120.193401,22.928771
120.193553,22.928212
120.193645,22.928533
120.193787,22.927746
120.193804,22.928431
120.193837,22.927962
120.193865,22.926232
120.193941,22.929513
120.193949,22.928316
120.194102,22.928777
120.194243,22.929313
120.194758,22.935577
120.195366,22.935273
120.195423,22.935178
120.197858,22.910112
120.198052,22.910072
120.202773,22.906327
120.203097,22.906385
120.203546,22.907079
120.223017,22.926415
120.223062,22.927693
120.223162,22.926149
120.223375,22.927208
120.223449,22.926915
120.223507,22.928138
120.223772,22.928175
120.223849,22.928204
120.223982,22.927524
120.224606,22.928412
120.227346,23.182375
120.227734,23.144721
120.228142,23.182347
120.228589,23.18256
120.22895,22.907928
120.22909,22.907373
120.229237,22.906582
120.229287,22.906448
120.229564,22.906783
120.2296,22.906391
120.229672,22.906655
120.229822,22.906485
120.23052,23.206097
120.230879,23.19154
120.231144,23.191092
120.233774,23.202444
120.234972,22.903679
120.241243,22.803973
120.241644,23.17913
120.243893,23.179813
120.246403,23.155345
120.246868,23.154469
120.246984,23.154711
120.248248,23.154514
120.261114,23.353537
120.261313,23.353592
120.29062,23.119307
120.290846,23.11858
120.291294,23.1183
120.295664,23.612028
120.296742,23.611696
120.297015,23.611709
120.303154,22.958292
